flickr_cat_000002.jpg,tabby 0.48676514625549316,tiger_cat 0.4445228576660156,lynx 0.017107216641306877,Egyptian_cat 0.007914087735116482,Persian_cat 0.0046933842822909355
flickr_cat_000003.jpg,Egyptian_cat 0.8691388368606567,tiger_cat 0.06639745831489563,tabby 0.04688255861401558,lynx 0.00479167141020298,plastic_bag 0.000991193694062531
flickr_cat_000004.jpg,Egyptian_cat 0.6633812785148621,tiger_cat 0.1745840311050415,tabby 0.12582576274871826,lynx 0.008613033220171928,Persian_cat 0.002990553854033351
flickr_cat_000005.jpg,Egyptian_cat 0.5078608989715576,tiger_cat 0.2976238429546356,tabby 0.12090060114860535,lynx 0.009143192321062088,plastic_bag 0.005694521591067314
flickr_cat_000006.jpg,Egyptian_cat 0.6817684173583984,tabby 0.19919061660766602,tiger_cat 0.08757448941469193,lynx 0.0033654780127108097,Persian_cat 0.0026382680516690016
flickr_cat_000007.jpg,tabby 0.5348508954048157,tiger_cat 0.4121549427509308,lynx 0.019096748903393745,Egyptian_cat 0.006944530177861452,plastic_bag 0.002494573360309005
flickr_cat_000009.jpg,tabby 0.6647167205810547,tiger_cat 0.2571784555912018,Egyptian_cat 0.07093577831983566,lynx 0.0016168798319995403,Persian_cat 0.00036089905188418925
flickr_cat_000010.jpg,tabby 0.7877923250198364,tiger_cat 0.1743628829717636,lynx 0.014800123870372772,Egyptian_cat 0.012579799629747868,space_heater 0.0011064291466027498
flickr_cat_000012.jpg,tabby 0.635854184627533,tiger_cat 0.2019132673740387,Egyptian_cat 0.1273529976606369,lynx 0.018825583159923553,tiger 0.0016966864932328463
flickr_cat_000013.jpg,Egyptian_cat 0.8518055081367493,lynx 0.024664385244250298,tabby 0.02122415415942669,Siamese_cat 0.020076744258403778,tiger_cat 0.01652514934539795
flickr_cat_000014.jpg,tiger_cat 0.44645804166793823,tabby 0.4238382875919342,Egyptian_cat 0.11691657453775406,lynx 0.008197112940251827,grey_fox 0.00029423614614643157
flickr_cat_000015.jpg,tabby 0.8273873925209045,tiger_cat 0.15635418891906738,lynx 0.006935300771147013,Persian_cat 0.0029747760854661465,Egyptian_cat 0.001157688326202333
flickr_cat_000017.jpg,tabby 0.7359803318977356,tiger_cat 0.2563944458961487,Egyptian_cat 0.004638096783310175,Persian_cat 0.0007124985568225384,lynx 0.00041269673965871334
flickr_cat_000018.jpg,tabby 0.5732254981994629,tiger_cat 0.1707560420036316,lynx 0.13881969451904297,Egyptian_cat 0.10903037339448929,plastic_bag 0.00031574926106259227
